GLOBALEVENTID,SQLDATE,AvgTone,NumArticles,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FullName,SOURCEURL
780485909,20180819,2.58302583025831,6,10.0,76.5,"Kerala, Kerala, India",https://www.thehindu.com/news/national/other-states/kashmir-lends-a-helping-hand/article24731770.ece
780485911,20180819,-2.3961661341853,1,10.0,76.5,"Kerala, Kerala, India",http://www.dnaindia.com/india/report-tamil-nadu-chief-minister-k-palaniswami-visits-flood-hit-areas-assures-compensation-for-crop-2651843
780485912,20180819,-2.3961661341853,1,10.0,76.5,"Kerala, Kerala, India",http://www.dnaindia.com/india/report-tamil-nadu-chief-minister-k-palaniswami-visits-flood-hit-areas-assures-compensation-for-crop-2651843
780485913,20180819,-1.74129353233831,2,10.0,76.5,"Kerala, Kerala, India",https://www.dailypioneer.com/health-and-fitness/health-ministry-extending-all-support-to-flood-relief-measures-in-kerala-nadda.html
780486050,20180819,-0.28248587570621,8,10.0,76.5,"Kerala, Kerala, India",https://www.outlookindia.com/newsscroll/swaraj-meets-top-leadership-of-mauritius-discusses-bilateral-ties/1367760
780487053,20180819,3.25203787928724,20,10.0,76.5,"Kerala, Kerala, India",http://www.khaleejtimes.com/business/local/uae-set-to-become-medical-tourism-hub
780487082,20180819,-1.08108108108108,6,9.33333,76.6333,"Chengannur, Kerala, India",https://www.vosizneias.com/304159/2018/08/19/washington-trump-says-nothing-to-hide-from-special-counsel-mueller/
780487124,20180819,-6.70141472236387,12,34.8764,71.1559,"Kerala, Konar, Afghanistan",http://www.kswo.com/story/38914374/avenatti-to-visit-new-hampshire-as-he-considers-2020-bid
780487125,20180819,-6.70141472236387,18,34.8764,71.1559,"Kerala, Konar, Afghanistan",http://www.kswo.com/story/38914374/avenatti-to-visit-new-hampshire-as-he-considers-2020-bid
780487185,20180819,-3.15197803140822,4,10.0,76.5,"Kerala, Kerala, India",https://www.business-standard.com/article/news-ians/cii-sets-up-task-force-for-kerala-flood-relief-work-118081900653_1.html
780487257,20180819,3.25203787928724,8,10.0,76.5,"Kerala, Kerala, India",http://www.khaleejtimes.com/business/local/uae-set-to-become-medical-tourism-hub
780487347,20180819,-5.54202192448234,4,9.33333,76.6333,"Chengannur, Kerala, India",https://www.vosizneias.com/304161/2018/08/19/chengannur-india-photos-nearly-1-million-displaced-in-flooding-in-southern-indian-state/
780487446,20180819,-5.54202192448234,1,9.33333,76.6333,"Chengannur, Kerala, India",https://www.vosizneias.com/304161/2018/08/19/chengannur-india-photos-nearly-1-million-displaced-in-flooding-in-southern-indian-state/
780487448,20180819,2.05128205128205,4,10.0,76.5,"Kerala, Kerala, India",https://www.business-standard.com/article/pti-stories/roy-to-donate-rs-1-lakh-to-kerala-cm-relief-fund-118081900679_1.html
